                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15     | Core 16     | Core 17     | Core 18     | Core 19     | Core 20     | Core 21     | Core 22     | Core 23     | Core 24     | Core 25     | Core 26     | Core 27     | Core 28     | Core 29     | Core 30     | Core 31     | Core 32     | Core 33     | Core 34     | Core 35     | Core 36     | Core 37     | Core 38     | Core 39     | Core 40     | Core 41     | Core 42     | Core 43     | Core 44     | Core 45     | Core 46     | Core 47     | Core 48     | Core 49     | Core 50     | Core 51     | Core 52     | Core 53     | Core 54     | Core 55     | Core 56     | Core 57     | Core 58     | Core 59     | Core 60     | Core 61     | Core 62     | Core 63    
  mpki                               |        0.15 |        1.21 |        0.08 |        0.09 |        0.08 |        0.09 |        0.09 |        0.08 |        0.08 |        0.09 |        0.09 |        0.08 |        0.08 |        0.10 |        0.09 |        0.08 |        0.09 |        0.09 |        0.09 |        0.08 |        0.08 |        0.09 |        0.09 |        0.08 |        0.09 |        0.09 |        0.09 |        0.08 |        0.08 |        0.10 |        0.08 |        0.08 |        0.08 |        0.11 |        0.10 |        0.11 |        0.10 |        0.11 |        0.12 |        0.11 |        0.09 |        0.11 |        0.10 |        0.11 |        0.11 |        0.11 |        0.10 |        0.10 |        0.11 |        0.10 |        0.09 |        0.12 |        0.11 |        0.11 |        0.11 |        0.10 |        0.11 |        0.09 |        0.10 |        0.11 |        0.11 |        0.11 |        0.10 |        0.10
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    13759729 |    10821827 |    13528504 |    13449766 |    13563457 |    13552602 |    13474631 |    13553417 |    13588029 |    13576886 |    13474520 |    13552663 |    13587842 |    13576910 |    13474181 |    13553350 |    13588112 |    13577136 |    13474593 |    13553347 |    13587770 |    13576743 |    13474570 |    13553165 |    13587808 |    13576687 |    13474470 |    13553585 |    13587661 |    13577198 |    13466187 |    13545633 |    13576371 |   131972559 |   143768954 |   142284701 |   123503170 |   125719986 |   128654642 |   133110437 |   124644617 |   121970518 |   137041323 |   127138084 |   124073486 |   127769338 |   123163263 |   129940418 |   121015983 |   129525061 |   137295995 |   122243417 |   126021670 |   122352605 |   135365390 |   125616348 |   118867826 |   130959110 |   133230846 |   126839742 |   126805963 |   124930405 |   122207707 |   131720997
    num misses                       |         163 |         553 |          51 |          52 |          51 |          46 |          51 |          50 |          50 |          46 |          45 |          50 |          50 |          46 |          45 |          50 |          50 |          46 |          45 |          50 |          50 |          46 |          45 |          50 |          50 |          46 |          45 |          50 |          50 |          46 |          46 |          46 |          46 |         213 |         131 |         156 |         127 |         123 |         159 |         157 |         149 |         148 |         141 |         158 |         167 |         153 |         150 |         142 |         134 |         127 |         134 |         150 |         145 |         155 |         151 |         129 |         156 |         123 |         141 |         163 |         138 |         149 |         145 |         136
    miss rate                        |       0.00% |       0.01% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    54075831 |    32240013 |    53491262 |    53060367 |    53582102 |    53566494 |    53126753 |    53555577 |    53646789 |    53630629 |    53126384 |    53554626 |    53646676 |    53630631 |    53125863 |    53555444 |    53646949 |    53630851 |    53126567 |    53555580 |    53646617 |    53630160 |    53126444 |    53555168 |    53646456 |    53630183 |    53126370 |    53555804 |    53646192 |    53630951 |    53134744 |    53566910 |    53653287 |   282054653 |   306040729 |   303541349 |   263054260 |   267727003 |   274675464 |   283974415 |   265719093 |   260159167 |   291919605 |   271270659 |   264902191 |   272589859 |   262609194 |   276993305 |   257888694 |   275851994 |   292308447 |   260808696 |   268748941 |   261064059 |   288849152 |   267460121 |   253731297 |   278701881 |   283784685 |   270741832 |   270324010 |   266450310 |   260511871 |   280720667
    num misses                       |      147933 |      840604 |      154793 |      135521 |      156521 |      141399 |      140723 |      158697 |      158788 |      144606 |      139545 |      158503 |      158066 |      143731 |      139730 |      159683 |      159778 |      145126 |      139595 |      158137 |      159044 |      143680 |      140014 |      158109 |      159229 |      144978 |      140347 |      158917 |      158111 |      144381 |      137923 |      156574 |      156396 |      162953 |      174127 |      171938 |      149467 |      143137 |      159132 |      153470 |      146260 |      161894 |      158427 |      155328 |      154606 |      161869 |      148117 |      154718 |      139550 |      146800 |      149167 |      149311 |      157404 |      154506 |      162188 |      153084 |      156868 |      138119 |      144536 |      152789 |      158384 |      168337 |      148040 |      157091
    miss rate                        |       0.27% |       2.61% |       0.29% |       0.26% |       0.29% |       0.26% |       0.26% |       0.30% |       0.30% |       0.27% |       0.26% |       0.30% |       0.29% |       0.27% |       0.26% |       0.30% |       0.30% |       0.27% |       0.26% |       0.30% |       0.30% |       0.27% |       0.26% |       0.30% |       0.30% |       0.27% |       0.26% |       0.30% |       0.29% |       0.27% |       0.26% |       0.29% |       0.29% |       0.06% |       0.06% |       0.06% |       0.06% |       0.05% |       0.06% |       0.05% |       0.06% |       0.06% |       0.05% |       0.06% |       0.06% |       0.06% |       0.06% |       0.06% |       0.05% |       0.05% |       0.05% |       0.06% |       0.06% |       0.06% |       0.06% |       0.06% |       0.06% |       0.05% |       0.05% |       0.06% |       0.06% |       0.06% |       0.06% |       0.06%
    mpki                             |        1.06 |       10.02 |        1.12 |        0.99 |        1.13 |        1.02 |        1.02 |        1.15 |        1.15 |        1.05 |        1.02 |        1.15 |        1.14 |        1.04 |        1.02 |        1.16 |        1.16 |        1.05 |        1.02 |        1.15 |        1.15 |        1.04 |        1.02 |        1.15 |        1.15 |        1.05 |        1.02 |        1.15 |        1.14 |        1.04 |        1.00 |        1.14 |        1.13 |        0.15 |        0.15 |        0.15 |        0.15 |        0.14 |        0.15 |        0.14 |        0.14 |        0.16 |        0.14 |        0.15 |        0.15 |        0.16 |        0.15 |        0.15 |        0.14 |        0.14 |        0.13 |        0.15 |        0.15 |        0.16 |        0.15 |        0.15 |        0.16 |        0.13 |        0.13 |        0.15 |        0.15 |        0.17 |        0.15 |        0.15
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |      148096 |      841157 |      154844 |      135573 |      156572 |      141445 |      140774 |      158747 |      158838 |      144652 |      139590 |      158553 |      158116 |      143777 |      139775 |      159733 |      159828 |      145172 |      139640 |      158187 |      159094 |      143726 |      140059 |      158159 |      159279 |      145024 |      140392 |      158967 |      158161 |      144427 |      137969 |      156620 |      156442 |      163166 |      174258 |      172094 |      149594 |      143260 |      159291 |      153627 |      146409 |      162042 |      158568 |      155486 |      154773 |      162022 |      148267 |      154860 |      139684 |      146927 |      149301 |      149461 |      157549 |      154661 |      162339 |      153213 |      157024 |      138242 |      144677 |      152952 |      158522 |      168486 |      148185 |      157227
    num misses                       |       46478 |       17760 |       59200 |       41703 |       58814 |       42327 |       44584 |       59322 |       60426 |       44253 |       44201 |       60133 |       59978 |       42891 |       44921 |       59977 |       61178 |       45680 |       43338 |       60254 |       60023 |       44196 |       44055 |       59973 |       61171 |       43679 |       45287 |       60627 |       59411 |       43447 |       43732 |       59062 |       59396 |       64911 |       60027 |       61553 |       51805 |       52189 |       56049 |       55466 |       52874 |       52800 |       56493 |       55306 |       53686 |       54653 |       52052 |       54448 |       49266 |       55009 |       56408 |       51044 |       54075 |       51319 |       58520 |       52446 |       51253 |       53248 |       55713 |       53875 |       53600 |       52125 |       51214 |       55518
    miss rate                        |      31.38% |       2.11% |      38.23% |      30.76% |      37.56% |      29.92% |      31.67% |      37.37% |      38.04% |      30.59% |      31.66% |      37.93% |      37.93% |      29.83% |      32.14% |      37.55% |      38.28% |      31.47% |      31.04% |      38.09% |      37.73% |      30.75% |      31.45% |      37.92% |      38.40% |      30.12% |      32.26% |      38.14% |      37.56% |      30.08% |      31.70% |      37.71% |      37.97% |      39.78% |      34.45% |      35.77% |      34.63% |      36.43% |      35.19% |      36.10% |      36.11% |      32.58% |      35.63% |      35.57% |      34.69% |      33.73% |      35.11% |      35.16% |      35.27% |      37.44% |      37.78% |      34.15% |      34.32% |      33.18% |      36.05% |      34.23% |      32.64% |      38.52% |      38.51% |      35.22% |      33.81% |      30.94% |      34.56% |      35.31%
    mpki                             |        0.33 |        0.21 |        0.43 |        0.30 |        0.43 |        0.31 |        0.32 |        0.43 |        0.44 |        0.32 |        0.32 |        0.44 |        0.43 |        0.31 |        0.33 |        0.44 |        0.44 |        0.33 |        0.32 |        0.44 |        0.43 |        0.32 |        0.32 |        0.44 |        0.44 |        0.32 |        0.33 |        0.44 |        0.43 |        0.31 |        0.32 |        0.43 |        0.43 |        0.06 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05 |        0.05
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    13759729 |    10821827 |    13528504 |    13449766 |    13563457 |    13552602 |    13474631 |    13553417 |    13588029 |    13576886 |    13474520 |    13552663 |    13587842 |    13576910 |    13474181 |    13553350 |    13588112 |    13577136 |    13474593 |    13553347 |    13587770 |    13576743 |    13474570 |    13553165 |    13587808 |    13576687 |    13474470 |    13553585 |    13587661 |    13577198 |    13466187 |    13545633 |    13576371 |   131972559 |   143768954 |   142284701 |   123503170 |   125719986 |   128654642 |   133110437 |   124644617 |   121970518 |   137041323 |   127138084 |   124073486 |   127769338 |   123163263 |   129940418 |   121015983 |   129525061 |   137295995 |   122243417 |   126021670 |   122352605 |   135365390 |   125616348 |   118867826 |   130959110 |   133230846 |   126839742 |   126805963 |   124930405 |   122207707 |   131720997
    num cache misses                 |       70088 |      246613 |       43585 |       44122 |       44956 |       45375 |       44175 |       43590 |       44359 |       45083 |       44896 |       44130 |       44308 |       45077 |       44593 |       44185 |       43625 |       44275 |       44145 |       43568 |       44113 |       44749 |       44646 |       44154 |       43847 |       44447 |       44448 |       43744 |       44334 |       45077 |       46105 |       45413 |       40216 |      358266 |      358628 |      357719 |      301909 |      310205 |      310722 |      321172 |      307970 |      296852 |      333349 |      307037 |      302402 |      315405 |      298553 |      314948 |      298752 |      317637 |      332648 |      297164 |      309907 |      295011 |      326988 |      304705 |      290673 |      315355 |      322484 |      309489 |      306296 |      302369 |      299897 |      319088
    miss rate                        |       0.51% |       2.28% |       0.32% |       0.33% |       0.33% |       0.33% |       0.33% |       0.32% |       0.33% |       0.33% |       0.33% |       0.33% |       0.33% |       0.33% |       0.33% |       0.33% |       0.32% |       0.33% |       0.33% |       0.32% |       0.32% |       0.33% |       0.33% |       0.33% |       0.32% |       0.33% |       0.33% |       0.32% |       0.33% |       0.33% |       0.34% |       0.34% |       0.30% |       0.27% |       0.25% |       0.25% |       0.24% |       0.25% |       0.24% |       0.24% |       0.25% |       0.24% |       0.24% |       0.24% |       0.24% |       0.25% |       0.24% |       0.24% |       0.25% |       0.25% |       0.24% |       0.24% |       0.25% |       0.24% |       0.24% |       0.24% |       0.24% |       0.24% |       0.24% |       0.24% |       0.24% |       0.24% |       0.25% |       0.24%
    mpki                             |        0.50 |        2.94 |        0.32 |        0.32 |        0.33 |        0.33 |        0.32 |        0.32 |        0.32 |        0.33 |        0.33 |        0.32 |        0.32 |        0.33 |        0.32 |        0.32 |        0.32 |        0.32 |        0.32 |        0.32 |        0.32 |        0.32 |        0.33 |        0.32 |        0.32 |        0.32 |        0.32 |        0.32 |        0.32 |        0.33 |        0.34 |        0.33 |        0.29 |        0.33 |        0.31 |        0.31 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    54075831 |    32240013 |    53491262 |    53060367 |    53582102 |    53566494 |    53126753 |    53555577 |    53646789 |    53630629 |    53126384 |    53554626 |    53646676 |    53630631 |    53125863 |    53555444 |    53646949 |    53630851 |    53126567 |    53555580 |    53646617 |    53630160 |    53126444 |    53555168 |    53646456 |    53630183 |    53126370 |    53555804 |    53646192 |    53630951 |    53134744 |    53566910 |    53653287 |   282054653 |   306040729 |   303541349 |   263054260 |   267727003 |   274675464 |   283974415 |   265719093 |   260159167 |   291919605 |   271270659 |   264902191 |   272589859 |   262609194 |   276993305 |   257888694 |   275851994 |   292308447 |   260808696 |   268748941 |   261064059 |   288849152 |   267460121 |   253731297 |   278701881 |   283784685 |   270741832 |   270324010 |   266450310 |   260511871 |   280720667
    num cache misses                 |     4578511 |     1992219 |     4543478 |     4543558 |     4543358 |     4550407 |     4556433 |     4555790 |     4554737 |     4561794 |     4554629 |     4555097 |     4553945 |     4560462 |     4555990 |     4555581 |     4554759 |     4560845 |     4555501 |     4555591 |     4554624 |     4560901 |     4555169 |     4555607 |     4554319 |     4560678 |     4554952 |     4555610 |     4554511 |     4561895 |     4544459 |     4544392 |     4536436 |     4614522 |     5015680 |     5075253 |     4408010 |     4415943 |     4711535 |     4728436 |     4449963 |     4396138 |     4719376 |     4622179 |     4550461 |     4592393 |     4396912 |     4586372 |     4275549 |     4572835 |     4787607 |     4335156 |     4554117 |     4417348 |     4868247 |     4463500 |     4507315 |     4537225 |     4712608 |     4522476 |     4440533 |     4579460 |     4523471 |     4665640
    miss rate                        |       8.47% |       6.18% |       8.49% |       8.56% |       8.48% |       8.49% |       8.58% |       8.51% |       8.49% |       8.51% |       8.57% |       8.51% |       8.49% |       8.50% |       8.58% |       8.51% |       8.49% |       8.50% |       8.57% |       8.51% |       8.49% |       8.50% |       8.57% |       8.51% |       8.49% |       8.50% |       8.57% |       8.51% |       8.49% |       8.51% |       8.55% |       8.48% |       8.46% |       1.64% |       1.64% |       1.67% |       1.68% |       1.65% |       1.72% |       1.67% |       1.67% |       1.69% |       1.62% |       1.70% |       1.72% |       1.68% |       1.67% |       1.66% |       1.66% |       1.66% |       1.64% |       1.66% |       1.69% |       1.69% |       1.69% |       1.67% |       1.78% |       1.63% |       1.66% |       1.67% |       1.64% |       1.72% |       1.74% |       1.66%
    mpki                             |       32.79 |       23.74 |       33.00 |       33.11 |       32.91 |       32.96 |       33.18 |       33.05 |       32.96 |       33.01 |       33.16 |       33.05 |       32.95 |       33.00 |       33.17 |       33.05 |       32.96 |       33.00 |       33.17 |       33.05 |       32.96 |       33.00 |       33.17 |       33.05 |       32.95 |       33.00 |       33.17 |       33.05 |       32.95 |       33.01 |       33.09 |       32.97 |       32.82 |        4.30 |        4.30 |        4.39 |        4.39 |        4.32 |        4.50 |        4.37 |        4.39 |        4.43 |        4.24 |        4.47 |        4.51 |        4.42 |        4.39 |        4.34 |        4.35 |        4.35 |        4.29 |        4.36 |        4.45 |        4.44 |        4.42 |        4.37 |        4.66 |        4.27 |        4.35 |        4.39 |        4.31 |        4.51 |        4.55 |        4.36
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     5453173 |     2266835 |     5394022 |     5393497 |     5417256 |     5420845 |     5429131 |     5425535 |     5426295 |     5430689 |     5428031 |     5428263 |     5427980 |     5431060 |     5430277 |     5430225 |     5426588 |     5429621 |     5428305 |     5426661 |     5428672 |     5431271 |     5429076 |     5430099 |     5426221 |     5428638 |     5427284 |     5427324 |     5427220 |     5431483 |     5419171 |     5417136 |     5188118 |     5331738 |     5765437 |     5818110 |     5045795 |     5068556 |     5370086 |     5409269 |     5095470 |     5023217 |     5424520 |     5272634 |     5188999 |     5253736 |     5028618 |     5253797 |     4903657 |     5242210 |     5492782 |     4963071 |     5205887 |     5042838 |     5561827 |     5109990 |     5119541 |     5208495 |     5396294 |     5174507 |     5090753 |     5220033 |     5154911 |     5342040
